	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
100134_at	98.66000	79.90000	49.00000	137.75000	148.23000	79.46000	59.06000	96.00000	116.56000	227.45000	88.85000	136.19000	182.09000	153.34000	133.58000	144.21000	193.26000	269.30000	163.85000	174.16000	111.35000	130.06000	200.71000	248.27000	178.82000	158.56000	
100136_at	56.14000	94.07000	81.32000	91.60000	61.94000	89.68000	89.26000	79.71000	61.07000	64.87000	86.75000	80.56000	102.96000	79.87000	69.86000	74.97000	81.11000	83.09000	84.67000	89.84000	106.64000	99.82000	91.22000	105.16000	117.16000	107.06000	
100138_f_at	450.89000	262.18000	234.01000	259.29000	231.39000	302.64000	297.99000	233.16000	254.22000	258.41000	241.88000	276.82000	116.48000	219.17000	76.01000	72.57000	66.40000	43.01000	56.58000	56.04000	46.71000	71.54000	51.46000	51.11000	65.93000	37.27000	
100139_at	560.17000	1176.61000	520.98000	635.10000	966.77000	266.48000	449.42000	495.49000	421.21000	667.87000	411.39000	722.94000	605.15000	305.75000	2038.74000	1977.86000	1847.40000	2075.76000	2123.92000	2060.56000	2104.10000	2940.56000	3873.20000	4100.18000	2944.43000	3017.56000	
100141_at	21.29000	33.08000	28.11000	22.31000	NaN	17.28000	27.72000	15.27000	19.54000	27.44000	19.20000	42.34000	42.54000	54.57000	23.02000	31.49000	14.40000	52.76000	11.37000	20.72000	22.85000	24.34000	17.59000	50.41000	12.35000	20.61000	
100142_at	245.21000	333.98000	252.62000	284.06000	184.50000	237.97000	248.81000	259.14000	217.19000	229.23000	207.72000	213.68000	195.00000	181.55000	229.91000	237.71000	242.34000	210.48000	189.04000	210.13000	319.33000	370.65000	429.57000	319.89000	333.91000	350.29000	
100143_at	16.10000	6.78000	0.72000	5.88000	NaN	3.87000	3.29000	NaN	6.23000	NaN	3.68000	6.65000	25.97000	11.05000	10.83000	NaN	6.09000	15.53000	8.33000	NaN	3.34000	6.52000	5.35000	15.81000	NaN	1.75000	
100144_at	731.24000	1211.35000	1064.51000	954.72000	1123.47000	904.77000	897.17000	1175.28000	1119.22000	1249.91000	1103.88000	1233.58000	1433.87000	908.42000	1072.20000	1136.95000	1121.09000	1098.87000	1370.92000	1403.15000	1041.45000	940.92000	959.75000	1320.90000	1379.87000	1351.42000	
100147_at	4.07000	NaN	1.87000	7.66000	3.37000	NaN	9.29000	0.25000	10.12000	4.25000	NaN	23.79000	19.25000	NaN	0.46000	3.19000	5.46000	NaN	12.77000	0.54000	10.30000	5.90000	3.58000	14.02000	20.08000	13.10000	
100148_at	125.37000	125.35000	171.90000	97.03000	62.10000	155.42000	152.19000	141.77000	164.26000	152.25000	132.02000	99.10000	123.66000	136.40000	159.21000	142.88000	192.79000	144.50000	141.19000	154.40000	142.59000	135.64000	103.08000	118.82000	138.60000	135.12000	
100149_at	10.84000	18.34000	11.71000	8.00000	19.74000	4.26000	7.57000	4.57000	2.60000	13.60000	8.10000	11.50000	13.14000	6.79000	0.97000	1.43000	5.02000	8.68000	11.14000	5.75000	8.25000	2.92000	3.80000	10.74000	4.36000	4.44000	
100150_f_at	22.65000	17.77000	NaN	16.18000	21.72000	8.30000	14.58000	19.54000	13.60000	1.58000	1.18000	7.51000	12.98000	NaN	8.39000	15.87000	16.64000	31.68000	18.51000	6.31000	18.76000	21.32000	15.01000	19.33000	13.55000	13.53000	
100151_at	1212.96000	1116.81000	937.46000	623.57000	865.26000	925.94000	897.81000	1653.06000	1479.55000	1061.17000	1142.14000	1414.76000	1001.26000	918.33000	981.19000	1051.11000	1090.70000	913.41000	1158.82000	1132.68000	967.62000	1039.90000	880.27000	860.12000	1051.71000	1064.86000	
100152_at	NaN	11.28000	NaN	NaN	NaN	NaN	3.76000	NaN	5.74000	7.17000	NaN	NaN	NaN	NaN	NaN	NaN	3.34000	8.27000	NaN	1.06000	5.02000	5.53000	3.49000	10.27000	8.72000	NaN	
100153_at	6452.18000	4216.61000	3448.78000	3893.32000	6397.72000	2548.08000	3193.05000	3754.22000	3692.39000	2576.06000	3273.79000	3773.19000	3162.87000	2305.91000	639.77000	684.13000	645.81000	751.24000	658.30000	734.08000	921.32000	1049.46000	1316.50000	1450.11000	950.20000	980.60000	
100154_at	186.14000	199.24000	174.02000	202.54000	179.73000	192.68000	189.79000	270.60000	193.54000	249.01000	214.95000	252.43000	140.31000	163.25000	85.56000	89.36000	100.71000	65.76000	96.36000	90.09000	139.56000	141.80000	151.68000	124.33000	146.50000	133.73000	
100155_at	185.91000	81.09000	139.34000	182.53000	127.83000	221.96000	189.39000	71.24000	126.14000	92.46000	148.85000	94.91000	82.80000	186.32000	165.89000	167.72000	202.29000	150.27000	191.21000	199.13000	210.62000	231.55000	218.71000	227.73000	272.79000	220.63000	
100156_at	14.51000	8.20000	29.81000	26.07000	29.45000	31.43000	21.20000	22.94000	28.69000	17.90000	22.29000	15.29000	34.52000	40.22000	40.33000	37.66000	37.44000	39.00000	62.38000	38.56000	23.50000	31.56000	35.43000	26.44000	22.83000	24.21000	
100213_f_at	4657.13000	4040.93000	2967.75000	4410.31000	6665.06000	3270.15000	3676.60000	4037.76000	3327.51000	4039.87000	2884.79000	4738.19000	4849.33000	3528.90000	5105.32000	5309.06000	5673.70000	6874.62000	5963.67000	5921.62000	5188.72000	5722.16000	6835.72000	8242.46000	6506.70000	6319.66000	
100225_f_at	372.68000	266.77000	218.99000	262.68000	369.50000	228.94000	277.08000	212.61000	248.05000	209.75000	174.06000	261.34000	227.76000	175.90000	150.93000	148.74000	171.02000	129.26000	84.70000	169.11000	160.91000	171.30000	115.13000	134.64000	160.07000	148.86000	
100272_at	47.16000	57.44000	72.18000	62.48000	44.99000	51.18000	76.21000	61.75000	53.25000	98.25000	85.48000	74.77000	45.45000	65.68000	21.47000	23.09000	46.21000	38.88000	55.94000	35.44000	35.79000	36.21000	61.55000	38.66000	41.69000	44.71000	
100277_at	25.70000	25.36000	30.16000	14.88000	55.69000	33.22000	24.20000	115.44000	108.22000	107.69000	88.35000	79.09000	85.93000	30.86000	34.08000	45.71000	39.59000	52.95000	45.29000	54.00000	36.91000	39.03000	45.42000	27.06000	32.15000	38.15000	
100278_at	29.93000	NaN	14.67000	6.99000	15.46000	23.20000	10.55000	22.68000	10.42000	6.43000	6.23000	43.00000	15.66000	0.15000	8.02000	9.94000	10.06000	1.45000	10.24000	10.21000	14.43000	16.98000	17.43000	5.54000	14.88000	12.03000	
100279_at	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.58000	37.11000	61.41000	34.93000	48.54000	42.12000	27.70000	8.79000	11.89000	7.03000	32.43000	23.71000	
100280_at	42.75000	37.58000	52.88000	46.86000	72.30000	52.14000	55.97000	48.05000	64.25000	49.55000	57.78000	36.49000	80.58000	89.35000	51.15000	50.25000	30.18000	69.42000	64.65000	57.66000	41.85000	58.73000	68.90000	74.54000	51.14000	52.00000	
100281_at	19.14000	41.94000	16.70000	22.54000	12.59000	38.14000	29.15000	34.25000	25.57000	33.23000	15.69000	59.15000	NaN	25.58000	25.91000	37.87000	25.30000	31.02000	32.44000	33.77000	35.23000	41.73000	28.11000	28.70000	24.20000	34.85000	
100282_at	60.03000	33.55000	51.55000	49.50000	53.47000	53.44000	43.27000	28.31000	37.25000	38.32000	35.94000	46.33000	12.37000	65.41000	89.31000	76.73000	74.50000	122.69000	54.00000	71.69000	114.78000	81.09000	93.80000	83.72000	88.27000	93.21000	
100283_at	72.68000	45.50000	19.00000	72.41000	58.24000	44.44000	58.45000	51.55000	52.31000	46.88000	59.96000	51.24000	78.52000	45.45000	62.12000	47.84000	56.46000	60.43000	68.36000	68.01000	57.04000	92.52000	65.41000	64.35000	90.51000	69.86000	
100284_at	NaN	NaN	NaN	0.15000	NaN	NaN	NaN	NaN	NaN	6.53000	1.82000	NaN	NaN	3.26000	6.71000	0.51000	2.45000	NaN	8.01000	4.90000	3.39000	9.53000	NaN	2.23000	5.03000	3.19000	
100285_at	4.24000	NaN	NaN	NaN	17.52000	0.70000	NaN	NaN	NaN	NaN	NaN	2.73000	NaN	4.44000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
100286_at	26.88000	20.85000	33.34000	9.78000	44.01000	20.86000	18.74000	24.61000	26.06000	30.95000	11.46000	14.82000	16.80000	28.29000	27.23000	31.18000	25.39000	41.69000	31.71000	18.00000	30.93000	36.64000	58.72000	49.16000	23.56000	28.61000	
100287_at	13.10000	24.98000	25.19000	23.73000	22.37000	19.66000	11.86000	NaN	9.35000	19.04000	13.28000	9.97000	17.80000	22.19000	12.78000	20.23000	12.84000	13.19000	12.97000	0.47000	7.02000	11.36000	6.38000	10.07000	11.84000	11.82000	
100289_at	124.98000	96.16000	167.46000	129.87000	165.58000	110.28000	116.46000	90.98000	92.26000	104.73000	106.00000	142.23000	176.97000	159.44000	490.10000	442.39000	347.19000	436.11000	473.30000	401.11000	293.43000	244.66000	285.77000	295.40000	221.20000	271.36000	
100290_f_at	1.81000	NaN	7.31000	NaN	NaN	16.26000	6.00000	NaN	13.30000	2.67000	8.51000	NaN	0.00000	1.93000	NaN	7.26000	6.58000	NaN	NaN	NaN	2.17000	6.54000	NaN	6.05000	4.05000	0.68000	
100291_at	0.62000	9.24000	12.90000	29.75000	19.99000	2.53000	10.34000	3.81000	9.74000	20.52000	15.33000	28.18000	27.19000	14.74000	32.68000	22.97000	27.78000	49.64000	25.77000	24.27000	28.50000	28.02000	40.75000	26.24000	24.80000	33.67000	
100292_at	NaN	7.54000	NaN	NaN	6.33000	NaN	NaN	NaN	NaN	NaN	NaN	5.12000	NaN	NaN	6.79000	NaN	NaN	3.12000	NaN	NaN	8.63000	6.94000	13.04000	0.12000	NaN	5.92000	
100293_at	47.10000	45.26000	58.43000	80.81000	115.16000	55.99000	47.32000	41.56000	40.53000	62.30000	80.98000	84.74000	83.02000	92.64000	53.95000	47.22000	57.46000	55.35000	60.26000	53.08000	75.95000	54.16000	126.15000	153.23000	94.85000	101.59000	
100294_at	NaN	15.36000	3.27000	9.74000	9.62000	NaN	4.55000	25.52000	9.18000	NaN	9.24000	NaN	NaN	6.64000	35.66000	20.70000	34.08000	34.81000	24.72000	25.98000	24.94000	29.38000	21.08000	12.81000	28.16000	24.24000	
100295_at	127.24000	101.80000	121.75000	107.70000	145.35000	139.46000	115.99000	100.72000	79.37000	139.69000	155.54000	134.92000	143.06000	156.30000	154.80000	154.45000	110.00000	156.49000	139.53000	101.80000	173.83000	141.26000	153.11000	109.69000	81.90000	107.42000	
100296_at	62.24000	52.23000	93.42000	83.68000	123.22000	96.13000	92.98000	70.28000	73.57000	70.96000	79.02000	140.57000	61.10000	119.07000	83.86000	80.28000	36.53000	66.02000	71.00000	48.98000	76.86000	65.33000	48.50000	48.54000	44.90000	55.65000	
100297_at	415.65000	324.59000	397.49000	276.51000	224.89000	357.35000	425.43000	220.62000	256.59000	271.61000	291.75000	173.34000	187.66000	297.23000	216.07000	229.89000	198.07000	175.80000	135.30000	144.75000	235.83000	209.75000	121.42000	137.37000	171.52000	171.73000	
100298_at	15.08000	NaN	11.40000	12.57000	44.83000	22.15000	6.43000	4.21000	17.82000	NaN	11.83000	39.01000	NaN	32.16000	34.28000	42.94000	25.35000	45.76000	16.22000	13.35000	27.23000	19.59000	15.72000	45.41000	28.03000	23.03000	
100299_f_at	20.11000	24.41000	7.35000	7.55000	2.80000	NaN	3.93000	18.42000	3.83000	33.97000	NaN	NaN	2.29000	17.60000	13.25000	0.64000	5.13000	18.52000	NaN	6.29000	13.76000	8.38000	13.79000	8.67000	10.30000	7.56000	
100300_at	31.85000	12.75000	22.72000	17.48000	16.62000	16.49000	16.36000	15.17000	19.60000	17.55000	15.38000	36.42000	1.83000	25.52000	29.61000	29.56000	15.78000	36.38000	5.69000	16.43000	29.00000	32.55000	23.91000	29.56000	20.70000	17.93000	
100301_at	NaN	NaN	NaN	0.00000	NaN	NaN	NaN	NaN	NaN	NaN	2.23000	NaN	NaN	NaN	11.17000	NaN	NaN	3.06000	NaN	NaN	NaN	3.05000	3.52000	NaN	NaN	1.96000	
100302_at	14.80000	9.19000	11.34000	25.81000	10.36000	10.53000	18.17000	24.10000	15.90000	19.88000	7.23000	20.87000	20.62000	7.49000	18.91000	19.79000	16.57000	26.03000	29.36000	27.04000	20.32000	13.24000	15.10000	24.52000	7.15000	6.83000	
100303_at	10.00000	20.62000	9.12000	4.43000	13.90000	9.98000	9.00000	NaN	4.15000	8.11000	NaN	NaN	22.00000	17.06000	2.28000	11.51000	6.77000	9.75000	4.56000	NaN	7.87000	12.33000	2.55000	5.39000	16.45000	0.62000	
100304_at	107.64000	30.71000	70.10000	76.50000	131.78000	86.61000	80.31000	47.90000	59.97000	10.28000	79.93000	50.51000	19.25000	76.28000	85.25000	90.84000	68.64000	75.64000	80.78000	59.30000	99.76000	50.68000	88.51000	78.14000	73.02000	74.85000	
100305_g_at	63.48000	60.38000	89.88000	70.10000	89.91000	85.76000	80.21000	77.28000	61.36000	83.66000	63.01000	61.81000	65.84000	74.65000	64.88000	68.88000	45.58000	111.93000	74.83000	44.75000	77.36000	93.10000	75.06000	68.02000	83.98000	50.73000	
100306_at	52.41000	19.10000	31.89000	38.98000	34.38000	40.46000	49.68000	54.19000	29.79000	21.90000	31.25000	55.96000	28.64000	26.42000	52.94000	59.21000	49.09000	49.54000	32.38000	54.35000	67.98000	59.27000	42.18000	29.68000	58.67000	51.09000	
100307_at	25.41000	21.85000	32.97000	40.43000	71.98000	45.92000	36.15000	26.44000	22.98000	27.84000	55.87000	17.95000	41.63000	46.65000	134.18000	136.65000	171.04000	162.83000	232.35000	208.79000	64.50000	60.61000	82.41000	62.52000	86.61000	83.35000	
100308_at	9.71000	20.71000	7.93000	13.65000	20.32000	18.15000	18.48000	11.01000	2.27000	22.40000	9.42000	45.59000	1.07000	21.14000	20.87000	30.91000	23.57000	17.96000	31.34000	26.82000	59.81000	59.06000	43.09000	61.58000	63.50000	59.52000	
100309_at	NaN	1.52000	NaN	7.62000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.48000	1.76000	2.87000	NaN	NaN	1.12000	NaN	NaN	1.81000	6.68000	NaN	NaN	NaN	NaN	NaN	
100311_f_at	15.81000	NaN	2.73000	5.39000	27.56000	10.26000	11.69000	12.08000	18.59000	8.80000	25.84000	32.57000	NaN	9.60000	6.89000	15.00000	9.97000	13.76000	16.65000	6.34000	19.55000	17.87000	13.17000	12.18000	10.32000	15.17000	
100313_at	22.76000	14.93000	9.14000	18.33000	27.80000	18.90000	20.72000	30.24000	19.73000	4.45000	17.61000	NaN	13.37000	28.23000	23.72000	27.60000	13.96000	30.11000	24.37000	29.24000	19.74000	24.95000	24.63000	18.55000	15.83000	17.65000	
100314_f_at	NaN	5.88000	4.83000	NaN	2.39000	NaN	NaN	NaN	1.98000	7.57000	NaN	NaN	NaN	NaN	3.53000	7.19000	NaN	NaN	NaN	2.77000	NaN	NaN	NaN	NaN	2.88000	8.38000	
100315_at	NaN	11.28000	11.14000	8.93000	20.65000	8.77000	4.29000	25.52000	6.72000	6.68000	11.33000	27.38000	21.62000	7.61000	62.40000	71.00000	106.95000	50.59000	202.06000	205.11000	133.07000	111.49000	74.53000	53.57000	230.06000	236.22000	
100317_at	6.49000	16.49000	0.78000	4.61000	NaN	9.85000	7.43000	3.50000	6.72000	15.58000	9.33000	9.44000	16.42000	7.70000	7.87000	5.65000	10.55000	24.71000	7.17000	5.12000	8.92000	9.50000	9.68000	8.63000	7.48000	11.34000	
100318_at	59.30000	58.44000	75.40000	64.67000	78.97000	64.33000	55.47000	66.12000	15.19000	41.78000	66.15000	56.30000	46.36000	62.60000	97.51000	91.35000	54.52000	98.68000	71.29000	60.31000	120.12000	104.31000	111.39000	124.49000	84.95000	94.12000	
100319_at	3.05000	20.90000	8.09000	20.79000	23.77000	13.98000	18.15000	5.68000	11.88000	14.29000	7.60000	25.79000	1.15000	15.34000	8.33000	12.96000	11.20000	9.78000	6.67000	10.44000	4.74000	12.14000	10.99000	16.99000	9.52000	10.89000	
100320_at	6.21000	20.76000	0.29000	NaN	21.06000	10.15000	1.79000	10.86000	19.21000	4.70000	4.69000	14.29000	2.44000	16.16000	21.93000	17.02000	17.44000	18.62000	24.90000	22.65000	31.38000	31.78000	22.76000	5.54000	30.53000	32.05000	
100321_f_at	19.31000	18.29000	22.99000	18.11000	33.31000	16.34000	15.12000	17.15000	21.35000	15.43000	24.79000	16.15000	21.77000	22.83000	20.13000	19.75000	27.59000	25.53000	20.11000	25.11000	22.48000	17.45000	7.85000	15.39000	20.21000	15.28000	
100322_at	32.64000	11.71000	16.17000	20.42000	25.42000	17.75000	19.93000	44.15000	6.56000	49.69000	25.98000	NaN	24.21000	15.52000	10.05000	16.51000	18.30000	16.41000	18.19000	26.94000	14.98000	27.15000	14.10000	8.79000	16.72000	17.06000	
100323_at	1422.43000	1110.83000	1016.86000	628.44000	579.75000	961.57000	866.71000	1032.90000	1436.13000	901.41000	801.13000	834.80000	776.85000	836.34000	705.81000	757.37000	683.57000	624.03000	740.99000	779.44000	625.92000	587.75000	419.29000	502.48000	617.66000	682.06000	
100324_g_at	72.57000	59.81000	97.82000	39.35000	43.93000	61.95000	57.56000	69.01000	94.04000	54.69000	67.47000	63.61000	63.39000	51.55000	199.02000	210.39000	213.64000	169.49000	185.26000	228.55000	195.37000	180.42000	126.24000	149.56000	175.55000	190.20000	
100325_at	4.86000	1.99000	8.16000	5.69000	NaN	3.70000	4.45000	23.85000	5.81000	10.78000	19.65000	6.38000	3.44000	7.85000	1.47000	9.19000	2.75000	4.54000	7.78000	1.20000	1.88000	2.74000	4.61000	11.17000	3.83000	8.15000	
100326_f_at	18.75000	18.58000	25.27000	28.71000	22.46000	10.21000	11.50000	21.62000	13.79000	8.26000	24.48000	9.50000	6.11000	14.98000	20.17000	23.58000	7.52000	20.35000	19.06000	15.56000	14.89000	17.37000	30.17000	17.10000	16.34000	18.84000	
100327_at	22.53000	20.62000	32.79000	43.92000	43.84000	40.09000	36.49000	28.11000	27.55000	33.08000	34.12000	40.61000	59.19000	67.58000	48.73000	33.05000	25.14000	46.42000	60.61000	38.72000	48.02000	24.30000	39.41000	47.95000	29.93000	31.55000	
100328_s_at	24.68000	54.69000	14.03000	52.92000	44.67000	15.92000	15.70000	NaN	15.35000	13.80000	18.61000	2.13000	30.70000	33.01000	40.42000	17.19000	23.11000	11.30000	3.28000	13.87000	29.29000	19.92000	20.83000	3.12000	20.30000	10.23000	
100329_at	3.44000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.32000	NaN	NaN	7.91000	NaN	11.29000	NaN	3.39000	NaN	4.10000	NaN	0.75000	22.63000	16.25000	5.48000	4.84000	4.05000	3.60000	
100330_at	NaN	1.99000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.53000	NaN	NaN	NaN	NaN	0.35000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
100331_g_at	2179.53000	1804.66000	1833.54000	2892.12000	3218.56000	2093.00000	2199.17000	1677.82000	2025.69000	2335.11000	2153.63000	2365.01000	2295.43000	2050.78000	1221.12000	1317.69000	1584.89000	1661.62000	1106.41000	1256.83000	1340.90000	1572.62000	1583.22000	1715.41000	1380.62000	1377.25000	
100332_s_at	83.53000	108.39000	96.11000	91.19000	65.97000	72.16000	56.59000	83.22000	78.11000	78.62000	77.20000	83.08000	64.77000	78.21000	377.29000	452.37000	466.23000	441.48000	369.39000	424.46000	390.51000	499.95000	381.62000	321.68000	405.65000	372.36000	
100333_at	114.98000	120.66000	86.87000	131.28000	120.59000	118.11000	125.23000	107.47000	116.17000	174.94000	181.02000	104.02000	103.49000	147.82000	139.97000	138.34000	130.17000	138.72000	113.25000	84.79000	154.44000	149.29000	164.88000	141.43000	100.16000	118.77000	
100334_f_at	NaN	NaN	2.20000	NaN	4.85000	2.60000	3.00000	NaN	NaN	10.78000	NaN	20.94000	NaN	NaN	NaN	NaN	0.35000	2.05000	NaN	12.58000	0.77000	7.39000	2.40000	NaN	3.87000	3.08000	
100335_at	21.12000	NaN	17.40000	20.79000	21.39000	11.53000	28.13000	35.52000	NaN	NaN	19.33000	NaN	27.27000	11.11000	42.27000	22.50000	1.80000	2.52000	NaN	NaN	16.90000	23.59000	NaN	NaN	1.88000	6.92000	
100336_s_at	20.61000	35.21000	39.84000	55.19000	62.60000	14.68000	16.98000	51.45000	79.21000	58.10000	69.06000	59.35000	131.07000	78.00000	22.28000	22.94000	51.96000	65.42000	65.78000	24.99000	28.07000	31.71000	52.68000	89.03000	31.99000	29.00000	
100337_at	13.55000	10.00000	8.01000	17.03000	5.59000	13.00000	8.69000	9.95000	11.16000	7.22000	6.46000	30.51000	18.71000	NaN	40.54000	19.54000	24.09000	18.08000	27.91000	7.91000	33.19000	18.81000	11.99000	17.38000	16.54000	12.25000	
100338_s_at	26.43000	20.00000	4.58000	26.96000	21.14000	19.64000	3.45000	41.66000	35.63000	28.14000	32.53000	28.91000	8.40000	44.06000	58.54000	58.48000	38.07000	78.99000	62.67000	58.44000	56.68000	56.42000	46.11000	59.43000	51.65000	50.64000	
100339_at	19.37000	7.68000	10.68000	1.52000	21.72000	6.83000	5.03000	NaN	6.39000	22.50000	10.83000	23.26000	16.65000	14.10000	29.22000	50.61000	25.42000	9.62000	34.64000	18.49000	40.30000	27.59000	4.14000	9.45000	23.65000	17.02000	
100340_at	4.80000	10.09000	NaN	NaN	6.75000	0.11000	1.21000	10.91000	0.10000	9.05000	0.45000	NaN	2.37000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.80000	0.37000	2.27000	NaN	2.06000	5.31000	
100341_g_at	7.45000	13.74000	5.26000	3.16000	7.65000	5.60000	8.12000	3.50000	6.68000	13.25000	5.46000	7.18000	0.31000	15.10000	7.62000	10.57000	4.13000	15.68000	8.94000	4.29000	6.74000	8.08000	3.11000	14.45000	6.49000	14.40000	
100342_i_at	12540.41000	12055.08000	7934.77000	12409.84000	17276.35000	7943.13000	8919.07000	13631.30000	9940.96000	12939.89000	9617.17000	13162.76000	13125.42000	8361.19000	5281.28000	5415.16000	5896.05000	6307.65000	6421.68000	6455.05000	5752.15000	6026.65000	7769.65000	8165.26000	7444.88000	7175.37000	
100343_f_at	2813.18000	3225.68000	2273.82000	2419.17000	2586.25000	2274.00000	2267.78000	2622.42000	2564.34000	2673.57000	2093.30000	2174.59000	2716.13000	1821.31000	4000.98000	4028.30000	4197.79000	3087.16000	4139.07000	4298.34000	4240.13000	4735.45000	4588.57000	5372.31000	4646.29000	4679.14000	
100344_at	731.86000	762.36000	697.96000	605.09000	614.71000	696.53000	673.39000	811.71000	566.85000	648.59000	705.37000	645.37000	651.75000	667.66000	417.67000	479.78000	506.70000	472.78000	484.73000	472.32000	551.64000	474.10000	429.22000	470.58000	419.95000	427.33000	
100345_f_at	174.51000	153.31000	215.87000	255.83000	178.99000	172.46000	158.74000	139.54000	165.98000	176.03000	175.65000	156.39000	248.31000	231.37000	180.79000	149.24000	132.78000	185.77000	155.00000	161.86000	188.90000	183.10000	178.36000	192.04000	201.74000	202.05000	
100346_at	17.39000	25.02000	30.65000	48.16000	44.01000	26.28000	17.22000	36.89000	37.97000	29.47000	37.17000	55.70000	50.64000	37.08000	36.50000	26.15000	27.75000	34.87000	40.33000	28.63000	30.45000	37.56000	23.35000	29.40000	27.36000	22.57000	
100347_at	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
100348_at	6.55000	9.95000	5.49000	0.00000	3.70000	8.85000	12.07000	7.86000	14.34000	NaN	6.60000	5.32000	14.89000	NaN	16.01000	9.27000	9.92000	14.93000	5.66000	9.65000	5.94000	9.37000	NaN	0.47000	8.10000	16.54000	
100349_at	8.64000	NaN	NaN	NaN	19.91000	NaN	NaN	NaN	NaN	2.57000	NaN	NaN	NaN	1.24000	3.62000	3.46000	NaN	5.33000	NaN	NaN	NaN	0.30000	NaN	NaN	NaN	NaN	
100350_at	5.65000	12.65000	8.48000	17.74000	1.73000	6.92000	24.32000	NaN	3.57000	23.34000	14.65000	0.86000	10.92000	20.62000	21.65000	19.90000	12.84000	30.99000	9.49000	0.54000	23.37000	20.28000	14.94000	14.06000	20.19000	8.50000	
100351_f_at	15.53000	25.12000	18.00000	21.46000	0.90000	1.60000	22.72000	19.18000	24.79000	14.14000	11.69000	25.26000	14.74000	15.91000	14.91000	18.10000	10.74000	23.89000	4.82000	NaN	15.95000	15.03000	9.81000	0.62000	13.55000	10.07000	
100352_at	20.61000	16.68000	10.44000	9.22000	21.63000	19.37000	11.77000	7.05000	29.50000	29.17000	12.15000	27.78000	22.23000	17.21000	19.55000	18.30000	30.34000	39.57000	8.56000	36.63000	14.24000	27.04000	33.84000	50.18000	20.92000	26.31000	
100353_g_at	NaN	17.82000	5.03000	7.33000	7.40000	NaN	NaN	NaN	25.41000	NaN	NaN	20.47000	NaN	NaN	91.23000	74.63000	107.39000	54.91000	71.23000	112.81000	87.47000	55.17000	40.97000	34.09000	106.78000	103.92000	
100354_at	NaN	10.28000	NaN	4.50000	7.73000	0.04000	6.50000	2.89000	2.27000	8.80000	9.64000	4.98000	21.77000	5.22000	7.51000	NaN	2.52000	NaN	9.60000	4.74000	2.38000	6.80000	10.12000	4.18000	5.25000	9.23000	
100355_g_at	16.55000	32.37000	30.80000	17.81000	22.62000	16.34000	14.17000	16.44000	7.40000	NaN	9.37000	6.91000	19.78000	22.41000	21.10000	23.39000	1.24000	20.20000	7.02000	5.35000	3.01000	8.19000	17.28000	13.35000	11.96000	7.59000	
100356_at	5.08000	11.52000	NaN	NaN	22.13000	1.92000	2.79000	11.26000	4.58000	6.92000	NaN	43.67000	NaN	5.13000	0.52000	3.07000	4.04000	2.84000	NaN	0.31000	2.60000	1.02000	6.23000	8.75000	9.41000	13.76000	
100357_g_at	96.29000	72.98000	107.49000	90.60000	106.44000	111.58000	136.73000	86.77000	56.17000	84.41000	94.90000	120.83000	70.27000	102.25000	118.33000	92.16000	94.72000	70.53000	104.11000	86.17000	171.01000	151.90000	99.28000	91.45000	127.68000	132.23000	
100358_s_at	31.12000	10.24000	15.24000	22.02000	37.26000	28.94000	27.46000	7.51000	20.77000	29.67000	27.34000	28.45000	14.28000	24.34000	29.66000	25.98000	26.02000	51.28000	17.70000	21.43000	28.04000	37.93000	33.00000	24.09000	36.53000	32.60000	
100359_at	29.54000	1.04000	5.18000	15.99000	29.37000	25.05000	17.36000	1.42000	22.00000	2.08000	11.69000	25.92000	21.08000	6.64000	18.85000	2.79000	7.80000	6.31000	4.56000	6.64000	13.39000	14.06000	4.86000	22.45000	5.53000	13.26000	
100360_f_at	83.41000	103.84000	94.80000	93.79000	108.00000	88.10000	104.01000	71.39000	50.72000	47.37000	88.57000	50.31000	79.43000	77.00000	77.03000	77.24000	77.26000	44.56000	81.45000	60.43000	111.83000	106.39000	101.99000	96.14000	81.59000	89.09000	
100361_f_at	24.28000	7.87000	18.88000	15.69000	32.49000	9.94000	9.88000	8.88000	13.14000	11.27000	11.01000	13.43000	23.52000	28.20000	17.40000	11.29000	3.80000	13.32000	6.06000	1.95000	15.83000	15.47000	1.53000	0.08000	4.12000	2.26000	
100362_f_at	27.39000	NaN	11.05000	NaN	4.44000	14.94000	18.12000	0.00000	22.49000	2.52000	NaN	NaN	NaN	NaN	8.31000	11.65000	14.63000	5.68000	14.01000	20.11000	22.39000	30.72000	24.19000	7.03000	25.70000	19.41000	
